is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
41151_Q1,ML 1+1,75.0,ME
41151_Q2,ML 1+1,71.5,ME
41151_Q3,ML 1+1,92.06,ME
41151_Q4,ML 1+1,70.57,ME
41151_Q5,ML 1+1,87.71,ME
41151_Q6,ML 1+1,83.64,ME
41151_Q7,ML 1+1,87.39,ME
41151_Q1,ML 1+4,66.56,ME
41151_Q2,ML 1+4,61.77,ME
41151_Q3,ML 1+4,78.81,ME
41151_Q4,ML 1+4,60.97,ME
41151_Q5,ML 1+4,75.46,ME
41151_Q6,ML 1+4,74.65,ME
41151_Q7,ML 1+4,75.96,ME
41151_Q1,MSR,0.425,log(ME)/log(s)
41151_Q2,MSR,0.417,log(ME)/log(s)
41151_Q3,MSR,0.365,log(ME)/log(s)
41151_Q4,MSR,0.422,log(ME)/log(s)
41151_Q5,MSR,0.344,log(ME)/log(s)
41151_Q6,MSR,0.362,log(ME)/log(s)
41151_Q7,MSR,0.349,log(ME)/log(s)
41151_Q1,Umsatzzeit 90percent,620.82,[sec]
41151_Q2,Umsatzzeit 90percent,624.66,[sec]
41151_Q3,Umsatzzeit 90percent,617.82,[sec]
41151_Q4,Umsatzzeit 90percent,616.8,[sec]
41151_Q5,Umsatzzeit 90percent,585.42,[sec]
41151_Q6,Umsatzzeit 90percent,616.98,[sec]
41151_Q7,Umsatzzeit 90percent,628.62,[sec]
41151_Q1,S_dash bei 90percent Umsatz,14.12,dNm
41151_Q2,S_dash bei 90percent Umsatz,13.96,dNm
41151_Q3,S_dash bei 90percent Umsatz,14.09,dNm
41151_Q4,S_dash bei 90percent Umsatz,14.22,dNm
41151_Q5,S_dash bei 90percent Umsatz,14.37,dNm
41151_Q6,S_dash bei 90percent Umsatz,14.7,dNm
41151_Q7,S_dash bei 90percent Umsatz,14.43,dNm
41151_Q1,Massedruck_1,37.95,bar
41151_Q2,Massedruck_1,36.7,bar
41151_Q3,Massedruck_1,43.1,bar
41151_Q4,Massedruck_1,37.0,bar
41151_Q5,Massedruck_1,40.7,bar
41151_Q6,Massedruck_1,39.95,bar
41151_Q7,Massedruck_1,41.15,bar
41151_Q1,Massedruck_2,34.05,bar
41151_Q2,Massedruck_2,35.8,bar
41151_Q3,Massedruck_2,41.55,bar
41151_Q4,Massedruck_2,33.7,bar
41151_Q5,Massedruck_2,39.25,bar
41151_Q6,Massedruck_2,39.7,bar
41151_Q7,Massedruck_2,41.1,bar
41151_Q1,Quellung Hausmethode K10_1,32.88,percent
41151_Q2,Quellung Hausmethode K10_1,36.6,percent
41151_Q3,Quellung Hausmethode K10_1,27.62,percent
41151_Q4,Quellung Hausmethode K10_1,38.52,percent
41151_Q5,Quellung Hausmethode K10_1,27.0,percent
41151_Q6,Quellung Hausmethode K10_1,30.68,percent
41151_Q7,Quellung Hausmethode K10_1,27.83,percent
41151_Q1,Quellung Hausmethode K10_2,34.66,percent
41151_Q2,Quellung Hausmethode K10_2,39.65,percent
41151_Q3,Quellung Hausmethode K10_2,31.09,percent
41151_Q4,Quellung Hausmethode K10_2,34.07,percent
41151_Q5,Quellung Hausmethode K10_2,27.21,percent
41151_Q6,Quellung Hausmethode K10_2,28.65,percent
41151_Q7,Quellung Hausmethode K10_2,26.17,percent
41151_Q1,Masse pro Messzeit_1,25.74,g
41151_Q2,Masse pro Messzeit_1,26.68,g
41151_Q3,Masse pro Messzeit_1,24.24,g
41151_Q4,Masse pro Messzeit_1,27.18,g
41151_Q5,Masse pro Messzeit_1,23.98,g
41151_Q6,Masse pro Messzeit_1,23.48,g
41151_Q7,Masse pro Messzeit_1,23.86,g
41151_Q1,Masse pro Messzeit_2,25.8,g
41151_Q2,Masse pro Messzeit_2,26.9,g
41151_Q3,Masse pro Messzeit_2,24.12,g
41151_Q4,Masse pro Messzeit_2,27.56,g
41151_Q5,Masse pro Messzeit_2,22.88,g
41151_Q6,Masse pro Messzeit_2,23.4,g
41151_Q7,Masse pro Messzeit_2,23.76,g
41151_Q1,Hardness_mean_value,60.7,Shore A
41151_Q2,Hardness_mean_value,60.03,Shore A
41151_Q3,Hardness_mean_value,60.37,Shore A
41151_Q4,Hardness_mean_value,59.5,Shore A
41151_Q5,Hardness_mean_value,61.0,Shore A
41151_Q6,Hardness_mean_value,60.9,Shore A
41151_Q7,Hardness_mean_value,60.73,Shore A
41151_Q1,Rebound_mean_value_1,44.33,percent
41151_Q2,Rebound_mean_value_1,43.6,percent
41151_Q3,Rebound_mean_value_1,43.8,percent
