is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
41155_Q1,ML 1+1,75.49,ME
41155_Q2,ML 1+1,70.37,ME
41155_Q3,ML 1+1,91.95,ME
41155_Q4,ML 1+1,77.44,ME
41155_Q5,ML 1+1,89.97,ME
41155_Q6,ML 1+1,81.32,ME
41155_Q7,ML 1+1,91.82,ME
41155_Q1,ML 1+4,66.3,ME
41155_Q2,ML 1+4,60.58,ME
41155_Q3,ML 1+4,79.94,ME
41155_Q4,ML 1+4,67.96,ME
41155_Q5,ML 1+4,77.25,ME
41155_Q6,ML 1+4,73.0,ME
41155_Q7,ML 1+4,79.65,ME
41155_Q1,MSR,0.432,log(ME)/log(s)
41155_Q2,MSR,0.42,log(ME)/log(s)
41155_Q3,MSR,0.366,log(ME)/log(s)
41155_Q4,MSR,0.394,log(ME)/log(s)
41155_Q5,MSR,0.339,log(ME)/log(s)
41155_Q6,MSR,0.373,log(ME)/log(s)
41155_Q7,MSR,0.336,log(ME)/log(s)
41155_Q1,Umsatzzeit 90percent,635.34,[sec]
41155_Q2,Umsatzzeit 90percent,650.52,[sec]
41155_Q3,Umsatzzeit 90percent,610.56,[sec]
41155_Q4,Umsatzzeit 90percent,615.99,[sec]
41155_Q5,Umsatzzeit 90percent,645.66,[sec]
41155_Q6,Umsatzzeit 90percent,596.46,[sec]
41155_Q7,Umsatzzeit 90percent,557.22,[sec]
41155_Q1,S_dash bei 90percent Umsatz,13.85,dNm
41155_Q2,S_dash bei 90percent Umsatz,14.03,dNm
41155_Q3,S_dash bei 90percent Umsatz,14.29,dNm
41155_Q4,S_dash bei 90percent Umsatz,14.19,dNm
41155_Q5,S_dash bei 90percent Umsatz,13.83,dNm
41155_Q6,S_dash bei 90percent Umsatz,14.54,dNm
41155_Q7,S_dash bei 90percent Umsatz,14.82,dNm
41155_Q1,Massedruck_1,41.6,bar
41155_Q2,Massedruck_1,38.6,bar
41155_Q3,Massedruck_1,46.3,bar
41155_Q4,Massedruck_1,41.2,bar
41155_Q5,Massedruck_1,43.15,bar
41155_Q6,Massedruck_1,42.2,bar
41155_Q7,Massedruck_1,45.2,bar
41155_Q1,Massedruck_2,38.4,bar
41155_Q2,Massedruck_2,34.6,bar
41155_Q3,Massedruck_2,41.7,bar
41155_Q4,Massedruck_2,37.3,bar
41155_Q5,Massedruck_2,40.8,bar
41155_Q6,Massedruck_2,40.05,bar
41155_Q7,Massedruck_2,41.65,bar
41155_Q1,Quellung Hausmethode K10_1,30.68,percent
41155_Q2,Quellung Hausmethode K10_1,43.19,percent
41155_Q3,Quellung Hausmethode K10_1,28.86,percent
41155_Q4,Quellung Hausmethode K10_1,36.21,percent
41155_Q5,Quellung Hausmethode K10_1,27.62,percent
41155_Q6,Quellung Hausmethode K10_1,30.48,percent
41155_Q7,Quellung Hausmethode K10_1,30.28,percent
41155_Q1,Quellung Hausmethode K10_2,38.33,percent
41155_Q2,Quellung Hausmethode K10_2,40.97,percent
41155_Q3,Quellung Hausmethode K10_2,31.49,percent
41155_Q4,Quellung Hausmethode K10_2,38.52,percent
41155_Q5,Quellung Hausmethode K10_2,31.49,percent
41155_Q6,Quellung Hausmethode K10_2,35.05,percent
41155_Q7,Quellung Hausmethode K10_2,32.68,percent
41155_Q1,Masse pro Messzeit_1,26.28,g
41155_Q2,Masse pro Messzeit_1,26.58,g
41155_Q3,Masse pro Messzeit_1,24.58,g
